QALD id,match status,QALD question,QueGG question,comment,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
0,0.9684210526,Quando ha avuto luogo la battaglia di Gettysburg?,"""Quando ha avuto luogo Battaglia di Gettysburg?""",,PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?date WHERE {res:Battle_of_Gettysburg dbp:date ?date .},"""select ?o 
{
 <http://dbpedia.org/resource/Battle_of_Gettysburg> <http://dbpedia.org/property/date> ?o . 
}""",2,0,0,1,1,1
1,0.8372093023,Elenca tutti i musicals con musiche di Elton John.,"""Elenca tutti i musiche di Elton John""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
 ?uri rdf:type dbo:Musical .
 ?uri dbo:musicBy res:Elton_John .
}","""select ?s 
{
 ?s <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Elton_John> . 
}""",4,0,0,1,1,1
2,0.7792207792,Quanto ├¿ alto il faro di California?,"""Quanto ├¿ alto faro California Lighthouse?""",,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/California_Lighthouse> <http://dbpedia.org/ontology/height> ?num . },"""select ?o 
{
 <http://dbpedia.org/resource/California_Lighthouse> <http://dbpedia.org/ontology/height> ?o . 
}""",1,0,0,1,1,1
3,0.9166666667,Chi era la moglie del Abraham Lincoln?,"""Chi era moglie di Abraham Lincoln?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Abraham_Lincoln dbo:spouse ?uri.
}","""select ?o 
{
 <http://dbpedia.org/resource/Abraham_Lincoln> <http://dbpedia.org/ontology/spouse> ?o . 
}""",1,0,0,1,1,1
4,0.96,Chi ├¿ il presentatore di American Idol?,"""Chi ├¿ presentatore di American Idol?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/American_Idol> <http://dbpedia.org/ontology/presenter> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/American_Idol> <http://dbpedia.org/ontology/presenter> ?o . 
}""",2,0,0,1,1,1
5,0.8474576271,Quanto ├¿ costato Pulp Fiction?,"""Qual ├¿ costo di Pulp Fiction?""",,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . },"""select ?o 
{
 <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?o . 
}""",1,0,0,1,1,1
6,0,In quale citt├á si trova il birrificio della Heiniken?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },,0,0,0,0,0,0
7,0.8974358974,Quando ├¿ iniziata l'operatione Overlord?,"""Quando ´┐¢ iniziato Operazione Overlord?""",,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . },"""select ?o 
{
 <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?o . 
}""",1,0,0,1,1,1
8,0.7837837838,In quale citt├á termina la Route 68 in Cile?,"""in Quale citt´┐¢ termina Ruta 68?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 
}""",1,0,0,1,1,1
9,1,Chi ha sviluppato Slack?,"""Chi ha sviluppato Slack?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . },"""select ?o 
{
 <http://dbpedia.org/resource/Slack_(software)> <http://dbpedia.org/ontology/developer> ?o . 
}""",1,0,0,1,1,1
