"ID","status","sentence","sparqlQueGG","sparqlQald","TP","FP","FN","Precision","Recall","Fscore"
"2","WORKS","Who developed Skype?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Skype> <http://dbpedia.org/ontology/developer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Skype dbo:developer ?uri. }","2.0","0.0","0.0","1.0","1.0","1.0"
"5","WORKS","Who is the mayor of New York City?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/New_York_City> <http://dbpedia.org/ontology/leaderName> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:leaderName ?uri }","1.0","0.0","0.0","1.0","1.0","1.0"
"8","WORKS","Which airports does Air China serve?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Air_China> <http://dbpedia.org/ontology/targetAirport> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Air_China dbo:targetAirport ?uri }","9.0","0.0","0.0","1.0","1.0","1.0"
"9","WORKS","Give me all actors starring in movies directed by and starring William Shatner.","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/starring> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner ; dbo:starring res:William_Shatner { ?x dbo:starring ?uri } UNION { ?x dbp:starring ?uri } }","12.0","0.0","102661.0","1.0","1.16875904E-4","2.3372451E-4"
"10","WORKS","What are the official languages of the Philippines?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/officialLanguage> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Philippines dbo:officialLanguage ?uri }","2.0","0.0","187.0","1.0","0.01058201","0.020942409"
"19","WORKS","Who created the comic Captain America?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/author> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Captain_America dbo:creator ?uri }","2.0","0.0","26786.0","1.0","7.46603E-5","1.4930945E-4"
"21","WORKS","Who wrote the book The pillars of the Earth?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/composer> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:The_Pillars_of_the_Earth dbo:author ?uri }","0.0","1.0","5465.0","0.0","0.0","0.0"
"27","WORKS","Who is the daughter of Ingrid Bergman married to?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/child> ?objOfProp .}","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Ingrid_Bergman dbo:child ?child . ?child <http://dbpedia.org/property/spouse> ?uri }","0.0","0.0","13958.0","0.0","0.0","0.0"
"35","WORKS","When was the Statue of Liberty built?","SELECT ?objOfProp WHERE { ?Arg <http://dbpedia.org/ontology/buildingStartDate> ?objOfProp .}","SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Statue_of_Liberty> <http://dbpedia.org/property/beginningDate> ?date }","0.0","0.0","3268.0","0.0","0.0","0.0"
"37","WORKS","Who developed Minecraft?","SELECT ?objOfProp WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?objOfProp .}","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?uri }","1.0","0.0","0.0","1.0","1.0","1.0"
