"ID","status","sentence","sparqlQald"
"0","WORK","Wann fand die Schlacht von Gettysburg statt?","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Battle_of_Gettysburg> <http://dbpedia.org/property/date> ?Answer .}"
"1","WORK","Liste alle Musicals mit Musik von Elton John auf.","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Owl_John> <http://dbpedia.org/ontology/bandMember> ?Answer .}"
"2","N","Wie hoch ist der Leuchtturm in Colombo?","SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } ","N"
"3","N","Wer war die Frau von US-Pr├ñsident Lincoln?","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}","N"
"4","N","Wer moderiert die BBC Wildlife Specials?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . }","N"
"5","N","Wieviel hat Pulp Fiction gekostet?","SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } ","N"
"6","N","In welcher Stadt ist die Heinekenbrauerei?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . }","N"
"7","N","Wann wurde die Operation Overlord durchgef├╝hrt?","SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } ","N"
"8","N","In welcher Stadt h├Ârt die Ruta 68 auf?","SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } ","N"
"9","N","Wer hat Slack entwickelt?","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . }","N"
"10","N","Wer war mit Jacques Chirac verheiratet?","PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}","N"
"11","N","Woran ist Abraham Lincoln gestorben?","PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Bruce_Carver dbo:deathCause ?uri .     
}","N"
"12","N","Wer malte Christus im Sturm auf dem See von Galilea?","PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}","N"
"13","N","Durch welche St├ñdte flie├ƒt die Zeravshan?","SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . } ","N"
"14","N","Wieviele Pl├ñtze hat das Heimstadium des FC Porto?","SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ","N"
