LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition,,,,,,
desarrollar_1,verb,desarrollar,desarrolla,desarrolló,desarrollado,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,por,,,,,,
exhibit,verb,exhibit,exhibe,exhibió,exhibido,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,por,,,,,,
descubrir,verb,descubrir,descubre,descubrió,descubierto,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Planet,dbo:Person,por,,,,,,
cruzar,verb,cruzar,cruza,cruzó,cruzado,TransitiveFrame,range,domain,1,dbo:crosses,dbo:Bridge,dbo:River,por,,,,,,
ganar,verb,ganar,gana,ganó,ganado,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,por,,,,,,
crear_1,verb,crear,crea,creó,creado,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,por,,,,,,
crear_2,verb,ideó,ideó,ideó,ideó,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Person,por,,,,,,
crear_3,verb,crear,crea,creó,creado,TransitiveFrame,range,domain,1,dbo:author,dbo:Website,dbo:Agent,por,,,,,,
actuado,verb,actuado,actuado,actuado,actuado,TransitiveFrame,range,domain,5,dbo:starring,dbo:Film,dbo:Person,por,,,,,,
operate_1,verb,operar,opera,operó,operado,TransitiveFrame,range,domain,1,dbo:operator,dbo:LaunchPad,dbo:Organisation,por,,,,,,
play_1,verb,interpreto,interpreto,interpreto,interpreto,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,por,,,,,,
Play_2,verb,actuar,actúa,actúo,actuado,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,por,,,,,,
