id,question
1,List all boardgames by GMT.
2,Who developed Skype?
3,Which people were born in Heraklion?
4,In which U.S. state is Area 51 located?
5,Who is the mayor of New York City?
6,Which countries have places with more than two caves?
7,Where did Abraham Lincoln die?
8,Which airports does Air China serve?
9,Give me all actors starring in movies directed by and starring William Shatner.
10,What are the official languages of the Philippines?
11,Give me all Danish films.
12,Which movies starring Brad Pitt were directed by Guy Ritchie?
13,Give me the grandchildren of Bruce Lee.
14,Which other weapons did the designer of the Uzi develop?
15,Who is the owner of Universal Studios?
16,Which state of the USA has the highest population density?
17,Which monarchs were married to a German?
18,Which organizations were founded in 1950?
19,Who created the comic Captain America?
20,Give me the Apollo 14 astronauts.
21,Who wrote the book The pillars of the Earth?
22,Which state of the United States of America has the highest density?
23,Which spaceflights were launched from Baikonur?
24,Give me a list of all trumpet players that were bandleaders.
25,Which U.S. states are in the same timezone as Utah?
26,Which U.S. states possess gold minerals?
27,Who is the daughter of Ingrid Bergman married to?
28,How deep is Lake Placid?
29,Show me all museums in London.
30,Which caves have more than 3 entrances?
31,Who is the tallest player of the Atlanta Falcons?
32,What are the top-10 action role-playing video games according to IGN?
33,Give me all writers that won the Nobel Prize in literature.
34,Show me all basketball players that are higher than 2 meters.
35,When was the Statue of Liberty built?
36,Which states border Illinois?
37,Who developed Minecraft?
38,Where did Hillel Slovak die?
39,What movies does Jesse Eisenberg play in?
40,Give all swimmers that were born in Moscow.
41,Give me all cosmonauts.
42,Give me all Swiss non-profit organizations.
43,Which presidents were born in 1945?
44,What kind of music did Lou Reed play?
45,Where do the Red Sox play?
46,Show a list of soccer clubs that play in the Bundesliga.
47,Which volcanos in Japan erupted since 2000?
48,Which bridges cross the Seine?
49,What is the official color of the University of Oxford?
50,How many films did Hal Roach produce?
51,Give me all Danish movies.
