id,question
1,List all boardgames by GMT.
2,Who developed Skype?
3,Which people were born in Heraklion?
4,In which U.S. state is Area 51 located?
5,Who is the mayor of New York City?
6,Which countries have places with more than two caves?
7,Where did Abraham Lincoln die?
8,Which airports does Air China serve?
9,Give me all actors starring in movies directed by and starring William Shatner.
10,What are the official languages of the Philippines?
11,Give me all Danish films.
12,Which movies starring Brad Pitt were directed by Guy Ritchie?
13,Give me the grandchildren of Bruce Lee.
14,Which other weapons did the designer of the Uzi develop?
15,Who is the owner of Universal Studios?
16,Which state of the USA has the highest population density?
17,Which monarchs were married to a German?
18,Which organizations were founded in 1950?
19,Who created the comic Captain America?
20,Give me the Apollo 14 astronauts.
21,Who wrote the book The pillars of the Earth?
22,Which state of the United States of America has the highest density?
23,Which spaceflights were launched from Baikonur?
24,Give me a list of all trumpet players that were bandleaders.
25,Which U.S. states are in the same timezone as Utah?
26,Which U.S. states possess gold minerals?
27,Who is the daughter of Ingrid Bergman married to?
28,How deep is Lake Placid?
29,Show me all museums in London.
30,Which caves have more than 3 entrances?
31,Who is the tallest player of the Atlanta Falcons?
32,What are the top-10 action role-playing video games according to IGN?
33,Give me all writers that won the Nobel Prize in literature.
34,Show me all basketball players that are higher than 2 meters.
35,When was the Statue of Liberty built?
36,Which states border Illinois?
37,Who developed Minecraft?
38,Where did Hillel Slovak die?
39,What movies does Jesse Eisenberg play in?
40,Give all swimmers that were born in Moscow.
41,Give me all cosmonauts.
42,Give me all Swiss non-profit organizations.
43,Which presidents were born in 1945?
44,What kind of music did Lou Reed play?
45,Where do the Red Sox play?
46,Show a list of soccer clubs that play in the Bundesliga.
47,Which volcanos in Japan erupted since 2000?
48,Which bridges cross the Seine?
49,What is the official color of the University of Oxford?
50,How many films did Hal Roach produce?
51,Give me all Danish movies.
52,What is the most frequent cause of death?
53,Who are the four youngest MVP basketball players?
54,Give me all companies in Munich.
55,Give me the capitals of all countries that the Himalayas run through.
56,How many movies did Park Chan-wook direct?
57,Which rivers flow into a German lake?
58,How many airlines are there?
59,Give me all islands that belong to Japan.
60,How many inhabitants does Maribor have?
61,Give me all Apollo 14 astronauts.
62,Which companies have more than 1 million employees?
63,In which films directed by Garry Marshall was Julia Roberts starring?
64,Give me all soccer clubs in the Premier League.
65,What is the highest place of the Urals?
66,Who is the governor of Wyoming?
67,Where did the architect of the Eiffel Tower study?
68,Give me all world heritage sites designated within the past two years.
69,Give me all actors who were born in Paris after 1950.
70,Which movies star both Liz Taylor and Richard Burton?
71,Give me all Australian nonprofit organizations.
72,Which pope succeeded John Paul II?
73,Give me all ESA astronauts.
74,Who was president of Pakistan in 1978?
75,Who is the owner of Rolls-Royce?
76,How many museums does Paris have?
77,Where was JFK assassinated?
78,Give me all federal chancellors of Germany.
79,Show me everyone who was born on Halloween.
80,Which beer originated in Ireland?
81,To which countries does the Himalayan mountain system extend?
82,Which actors were born in Germany?
83,How much carbs does peanut butter have?
84,Who produced the most films?
85,How many employees does Google have?
86,Give me all actors who were born in Berlin.
87,Who created Goofy?
88,Which music albums contain the song Last Christmas?
89,When was Alberta admitted as province?
90,How many missions does the Soyuz programme have?
91,Give me all the TV shows with Neil Patrick Harris.
92,When were the Hells Angels founded?
93,What is the net income of Apple?
94,Give me all Swedish holidays.
95,In which city was the former Dutch queen Juliana buried?
96,List all the musicals with music by Leonard Bernstein.
97,Give me all companies in the advertising industry.
98,What is the largest metropolitan area in Washington state?
99,Who killed John Lennon?
100,Which writers studied in Istanbul?
101,Give me all Australian metalcore bands.
102,Which countries adopted the Euro?
103,Give me all types of eating disorders.
104,Was Marc Chagall a jew?
105,What was Brazil's lowest rank in the FIFA World Ranking?
106,How many films did Leonardo DiCaprio star in?
107,Was Margaret Thatcher a chemist?
108,Which U.S. states are in the same time zone as Utah?
109,Give me all books written by Danielle Steel.
110,Which country has the most official languages?
111,What is the total amount of men and women serving in the FDNY?
112,Which actor played Chewbacca?
113,Give me all libraries established earlier than 1400.
114,Which programming languages were influenced by Perl?
115,In which U.S. state is Mount McKinley located?
116,What airlines are part of the SkyTeam alliance?
117,Which ships were called after Benjamin Franklin?
118,Give me all Methodist politicians.
119,What other books have been written by the author of The Fault in Our Stars?
120,What is the highest mountain?
121,Which poet wrote the most books?
122,Which programming languages influenced Javascript?
123,Which musician wrote the most books?
124,Which films starring Clint Eastwood did he direct himself?
125,Which software has been developed by organizations founded in California?
126,Which instruments does Cat Stevens play?
127,How many airlines are members of the Star Alliance?
128,Give me all actors called Baldwin.
129,Who wrote The Hunger Games?
130,For which label did Elvis record his first album?
131,Is Christian Bale starring in Batman Begins?
132,Where is the residence of the prime minister of Spain?
133,Which actor was casted in the most movies?
134,Which countries have more than two official languages?
135,Which countries have more than ten caves?
136,Show me all songs from Bruce Springsteen released between 1980 and 1990.
137,Which television shows were created by John Cleese?
138,When did Latvia join the EU?
139,Which soccer players were born on Malta?
140,How many politicians graduated from Columbia University?
141,Give me the birthdays of all actors of the television show Charmed.
142,Which telecommunications organizations are located in Belgium?
143,Give me a list of all lakes in Denmark.
144,How many children does Eddie Murphy have?
145,Show me all English Gothic buildings in Kent.
146,Who is the manager of Real Madrid?
147,In which countries can you pay using the West African CFA franc?
148,Which holidays are celebrated around the world?
149,What is the longest river?
150,Which organizations were founded in 1930?
151,What is the birth name of Angela Merkel?
152,Who has Tom Cruise been married to?
153,Which weapons did Heckler & Koch develop?
154,What is the smallest city by area in Germany?
155,What is the ruling party in Lisbon?
156,How heavy is Jupiter's lightest moon?
157,How many employees does IBM have?
158,List all episodes of the first season of the HBO television series The Sopranos!
159,What does ICRO stand for?
160,Does the new Battlestar Galactica series have more episodes than the old one?
161,Give me all films produced by Hal Roach.
162,Who played Agent Smith in Matrix?
163,Which Greek parties are pro-European?
164,Give me a list of all bandleaders that play trumpet.
165,What is the second highest mountain on Earth?
166,Is Egypts largest city also its capital?
167,Which rockets were launched from Baikonur?
168,How many programming languages are there?
169,Which Chess players died in the same place they were born in?
170,Who is the owner of Facebook?
171,Give me all movies with Tom Cruise.
172,In which U.S. state is Fort Knox located?
173,Give me all cities in New Jersey with more than 100000 inhabitants.
174,Which mountains are higher than the Nanga Parbat?
175,Give me all B-sides of the Ramones.
176,What are the specialities of the UNC Health Care?
177,When was Olof Palme shot?
178,List the seven kings of Rome.
