"ID","status","sentence","sparqlQald"
"1","Parsed","List all boardgames by GMT.","SELECT ?Answer WHERE { <http://dbpedia.org/resource/GMT_Games> <http://dbpedia.org/ontology/publisher> ?Answer .}"
"2","Parsed","Who developed Skype?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Skype> .}"
"3","Parsed","Which people were born in Heraklion?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Heraklion> .}"
"4","Not Parsed","In which U.S. state is Area 51 located?","N"
"5","Parsed","Who is the mayor of New York City?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/New_York_City> <http://dbpedia.org/ontology/leaderName> ?Answer .}"
"6","Not Parsed","Which countries have places with more than two caves?","N"
"7","Parsed","Where did Abraham Lincoln die?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Abraham_Lincoln> <http://dbpedia.org/ontology/deathPlace> ?Answer .}"
"8","Parsed","Which airports does Air China serve?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Air_China> <http://dbpedia.org/ontology/targetAirport> ?Answer .}"
"9","Not Parsed","Give me all actors starring in movies directed by and starring William Shatner.","N"
"10","Not Parsed","What are the official languages of the Philippines?","N"
"11","Not Parsed","Give me all Danish films.","N"
"12","Not Parsed","Which movies starring Brad Pitt were directed by Guy Ritchie?","N"
"13","Not Parsed","Give me the grandchildren of Bruce Lee.","N"
"14","Not Parsed","Which other weapons did the designer of the Uzi develop?","N"
"15","Parsed","Who is the owner of Universal Studios?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Universal_Studios> <http://dbpedia.org/ontology/owner> ?Answer .}"
"16","Not Parsed","Which state of the USA has the highest population density?","N"
"17","Not Parsed","Which monarchs were married to a German?","N"
"18","Parsed","Which organizations were founded in 1950?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/founded> ""1950""^^<http://www.w3.org/2001/XMLSchema#gYear> .}"
"19","Not Parsed","Who created the comic Captain America?","N"
"20","Parsed","Give me the Apollo 14 astronauts.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/mission> <http://dbpedia.org/resource/Apollo_14> .}"
"21","Not Parsed","Who wrote the book The pillars of the Earth?","N"
"22","Not Parsed","Which state of the United States of America has the highest density?","N"
"23","Parsed","Which spaceflights were launched from Baikonur?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/property/launchPad> <http://dbpedia.org/resource/Baikonur_Cosmodrome> .}"
"24","Not Parsed","Give me a list of all trumpet players that were bandleaders.","N"
"25","Not Parsed","Which U.S. states are in the same timezone as Utah?","N"
"26","Not Parsed","Which U.S. states possess gold minerals?","N"
"27","Not Parsed","Who is the daughter of Ingrid Bergman married to?","N"
"28","Parsed","How deep is Lake Placid?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Lake_Placid_(Texas)> <http://dbpedia.org/ontology/maximumDepth> ?Answer .}"
"29","Parsed","Show me all museums in London.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/London_(novel)> .}"
"30","Not Parsed","Which caves have more than 3 entrances?","N"
"31","Not Parsed","Who is the tallest player of the Atlanta Falcons?","N"
"32","Not Parsed","What are the top-10 action role-playing video games according to IGN?","N"
"33","Not Parsed","Give me all writers that won the Nobel Prize in literature.","N"
"34","Parsed","Show me all basketball players that are higher than 2 meters.","SELECT DISTINCT ?subjOfProp WHERE { ?subjOfProp <http://dbpedia.org/ontology/height> ?Answer FILTER ( ?Answer > 2 ) }"
"35","Parsed","When was the Statue of Liberty built?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Statue_of_Liberty> <http://dbpedia.org/ontology/buildingStartDate> ?Answer .}"
"36","Parsed","Which states border Illinois?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Illinois> <http://dbpedia.org/property/borderingstates> ?Answer .}"
"37","Parsed","Who developed Minecraft?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Minecraft> .}"
"38","Parsed","Where did Hillel Slovak die?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Hillel_Slovak> <http://dbpedia.org/ontology/deathPlace> ?Answer .}"
"39","Not Parsed","What movies does Jesse Eisenberg play in?","N"
"40","Parsed","Give all swimmers that were born in Moscow.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Moscow> .}"
"41","Not Parsed","Give me all cosmonauts.","N"
"42","Not Parsed","Give me all Swiss non-profit organizations.","N"
"43","Parsed","Which presidents were born in 1945?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthDate> ""1945""^^<http://www.w3.org/2001/XMLSchema#gYear> .}"
"44","Parsed","What kind of music did Lou Reed play?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Lou_Reed> .}"
"45","Not Parsed","Where do the Red Sox play?","N"
"46","Not Parsed","Show a list of soccer clubs that play in the Bundesliga.","N"
"47","Not Parsed","Which volcanos in Japan erupted since 2000?","N"
"48","Parsed","Which bridges cross the Seine?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/crosses> <http://dbpedia.org/resource/Seine> .}"
"49","Not Parsed","What is the official color of the University of Oxford?","N"
"50","Not Parsed","How many films did Hal Roach produce?","N"
"51","Not Parsed","Give me all Danish movies.","N"
