QALD id,QALD question
0,Wann fand die Schlacht von Gettysburg statt?
1,Liste alle Musicals mit Musik von Elton John auf.
2,Wie hoch ist der Leuchtturm in Colombo?
3,Wer war die Frau von US-Pr├ñsident Lincoln?
4,Wer moderiert die BBC Wildlife Specials?
5,Wieviel hat Pulp Fiction gekostet?
6,In welcher Stadt ist die Heinekenbrauerei?
7,Wann wurde die Operation Overlord durchgef├╝hrt?
8,In welcher Stadt h├Ârt die Ruta 68 auf?
9,Wer hat Slack entwickelt?
10,Wer war mit Jacques Chirac verheiratet?
11,Woran ist Abraham Lincoln gestorben?
12,Wer malte Christus im Sturm auf dem See von Galilea?
13,Durch welche St├ñdte flie├ƒt die Zeravshan?
14,Wieviele Pl├ñtze hat das Heimstadium des FC Porto?
15,Mit wem ist die Tochter von Robert Kennedy verheiratet?
16,Welche B├╝cher von Kerouac wurden von Viking Press verlegt?
17,Wie gro├ƒ ist Amazon Eve?
18,In welchem Museum ist Der Schrei von Munch ausgestellt?
19,Wer schrieb das Buch Die S├ñulen der Erde?
20,Ist James Bond verheiratet?
21,Wer entdeckte Ceres?
22,Welchen Fluss ├╝berspannt die Brooklyn Bridge?
23,Wer wurde Eagles genannt?
24,Was ist das gr├Â├ƒte Land der Welt?
25,Wer ist B├╝rgermeister von Paris?
26,Wer ist der Trainer von Ankaras Eishockeymannschaft?
27,Wer ist der B├╝rgermeister der Hauptstadt von Russland?
28,Welche Preise hat Douglas Hofstadter gewonnen?
29,Wieviel hat der Legofilm gekostet?
30,Wo f├ñngt Piccadilly an?
31,Haben Prinz Harry und Prinz William dieselben Eltern?
32,Wer hat Agent Smith gespielt?
33,Wieviele Sprachen werden in Turkmenistan gesprochen?
34,In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?
35,In welchem Land entspringt der Ganges?
36,In welchem Jahr wurde Rachel Stevens geboren?
37,Ist Barack Obama ein Demokrat?
38,Wo wurde Johann Sebastian Bach geboren?
39,Wie oft hat Jane Fonda geheiratet?
40,Wer hat als erstes den Mount Everest bestiegen?
41,Wieviele Menschen leben in Polen?
42,Wo ist der Westminster-Palast?
43,Spielt Christian Bale in Batman Begins mit?
44,In welchem Land befindet sich der Limerick Lake?
45,Was war der letzte Film mit Alec Guinness?
46,Was ist der h├Âchste Berg in Australien?
47,Lebt Frank Herbert noch?
48,Wer hat sich Family Guy ausgedacht?
49,Was ist die Amtssprache Von Surinam?
50,Wer hat das Lied Hotel California geschrieben?
51,"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie gef├╝hrt hat."
52,Was ist in Chocolate Chip Cookies drin?
53,Gib mir alle Profiskateboarder aus Schweden.
54,Welche Zutaten brauche ich f├╝r M├Âhrenkuchen?
55,Spielt Neymar f├╝r Real Madrid?
56,Welcher Informatiker hat einen Oscar gewonnen?
57,Wieviele Firmen wurden im selben Jahr wie Google gegr├╝ndet?
58,In welcher Stadt im Vereinigten K├Ânigreich ist das Hauptquartier des MI6?
59,War die Kubakrise vor der Schweinebuchtinvasion?
60,F├╝r was steh IYCM?
61,Wann endete die Japanisches Kaiserreich?
62,Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf.
63,"Was ist die Gesamteinwohnerzahl von Melbourne, Florida?"
64,Hat Arnold Schwarzenegger eine Universit├ñt besucht?
65,In welchem Land ist der Mount Everest?
66,Was ist die gr├Â├ƒte Stadt in Australien?
67,Gib mir alle von der NASA betriebenen Startrampen.
68,Wer ist der B├╝rgermeister von Florenz?
69,Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf.
70,Wer hat Batman erfunden?
71,Wer hat Gus Fring gespielt?
72,In welcher Programmiersprache wurde GIMP geschrieben?
73,In welchem alten Reich konnte man mit Kakaobohnen bezahlen?
74,Wer ist der Herausgeber von Forbes?
75,Wieviele Menschen leben in der Hauptstadt Australiens?
76,Welche Profisurfer wurden in Australien geboren?
77,Welche Elektronikunternehmen wurden in Peking gegr├╝ndet?
78,Gib mir alle Videospiele von Mean Hamster Software.
79,Wieviele Aldi-Filialen gibt es?
80,Was ist die Hauptstadt von Kamerun?
81,"Gibt es ein Videospiel, das Battle Chess hei├ƒt?"
82,Hie├ƒ die Frau von Pr├ñsident Lincoln Mary?
83,"Gib mir alle Filme, bei denen Francis Ford Coppola Regie gef├╝hrt hat."
84,Welcher von Tim Burtons Filmen hatte das h├Âchste Budget?
85,Hat Breaking Bad mehr Episoden als Game of Thrones?
86,Wer wurde Rodzilla genannt?
87,Wurde Natalie Portman in den Vereinigten Staaten geboren?
88,Gib mir die Enkel von Elvis Presley.
89,"Bei welchen Filmen, in denen Mickey Rourke mitspielt, hat Guy Ritchie Regie gef├╝hrt?"
90,Wann ist Draculas Sch├Âpfer gestorben?
91,Aus welchem Land kommt der Erfinder von Nijntje?
92,Was ist Batmans richtiger Name?
93,Welche Regierungsform hat Russland?
94,Wieviele Firmen hat der Gr├╝nder von Facebook gegr├╝ndet?
95,Gib mir alle kanadischen Grunge-Plattenfirmen.
96,Wieviele Kinder hatte Benjamin Franklin?
97,Liste die Kinder von Margaret Thatcher auf.
98,Aus welcher Region ist der Melon de Bourgogne?
99,Wer ist das ├ñlteste Kind von Meryl Streep?
100,Sind Laubfr├Âsche Amphibien?
101,Spielt Christian Bale in Velvet Goldmine mit?
102,Liste alle Spiele von GMT Games auf.
103,Flie├ƒt die Isar in einen See?
104,Welche Flugh├ñfen fliegt Yeti Airlines an?
105,Welches indische Unternehmen hat die meisten Angestellten?
106,Welche Farbe steht f├╝r den Reichtum?
107,Welche Stadt hat die meisten Einwohner?
108,Wer hat Gmail gegr├╝ndet?
109,Ist Rita Wilson die Frau von Tom Hanks?
110,Hei├ƒt die Frau von Pr├ñsident Obama Michelle?
111,Wieviele ethnische Gruppen leben in Slovenien?
112,Wer ist der Pr├ñsident von Hamburgische B├╝rgerschaft?
113,Bei wievielen Filmen hat Stanley Kubrick Regie gef├╝hrt?
114,Wann wurde die Titanic fertiggestellt?
115,Wieviele Seiten hat Krieg und Frieden?
116,Wer ist der j├╝ngste Spieler in der Premier League?
117,Was ist der h├Âchste Berg in Italien?
118,Wie gro├ƒ ist Claudia Schiffer?
119,Wer war der Vizepr├ñsident unter Samuel Schmid?
120,Welche Tochtergesellschaft von Lufthansa fliegt sowohl Dortmund als auch Berlin Tegel an?
121,Wer war der Nachfolger von Patrick F. Kennedy?
122,Wer hat den Soundtrack f├╝r Camerons Titanic geschrieben?
123,Welche Filme hat Kurosawa gedreht?
124,Welche Plattenfirma hat Elvis' erstes Album aufgenommen?
125,In welcher Zeitzone liegt Rom?
126,Welche W├ñhrung benutzt China?
127,Wer sind die Entwickler von DBpedia?
128,Hat Abraham Lincolns Sterbeort eine Webseite?
129,Wer ist der K├Ânig der Australisches Parlament?
130,In welcher Stadt ist Nikos Kazantzakis gestorben?
131,Wer war der Vater von K├Ânigin Elizabeth II?
132,Gib mir eine Liste aller stark bedrohten Vogelarten.
